pregunta,respuesta
¿Qué EPP necesito para aplicar Azoxistrobina?,"Para aplicar Azoxistrobina recuerda que Clasificación OMS U. ADI: mg/kg pc. Toxicidad hepática y renal en dosis altas. Irritación leve en ojos y piel.. Las medidas de protección son: Uso de EPP completo (manga larga, guantes, protección ocular). Respetar periodos de carencia y límites máximos de residuos (LMR)."
¿Qué fungicida uso para la Antracnosis en maracuyá?,"Para controlar la Antracnosis en maracuyá se recomienda Difenoconazol, aplicado por Aspersión foliar. Protección dérmica obligatoria, uso de EPP y rotación técnica de activos para evitar resistencia."
"Tengo Antracnosis en mi cultivo de maracuyá, ¿qué hago?","Usa Difenoconazol mediante Aspersión foliar. Riesgos a tener en cuenta: Clasificación OMS III. ADI moderado. Riesgo de irritación ocular. LD50 Oral: mg/kg.. Protección: Protección dérmica obligatoria, uso de EPP y rotación técnica de activos para evitar resistencia."
¿Cómo controlo la Antracnosis causada por  Colletotrichum gloeosporioides  en maracuyá?,El control de Antracnosis en maracuyá se realiza con Difenoconazol (Aspersión foliar). Modo de acción: Inhibidor DMI (Código FRAC 3). Sistémico. Inhibe la biosíntesis de esteroles (bloqueo C14-desmetilación)..
¿Qué riesgos tiene el Difenoconazol?,"El Difenoconazol presenta: Clasificación OMS III. ADI moderado. Riesgo de irritación ocular. LD50 Oral: mg/kg.. Para protegerte: Protección dérmica obligatoria, uso de EPP y rotación técnica de activos para evitar resistencia."
¿Es peligroso el Difenoconazol para la salud?,"Respecto al Difenoconazol: Clasificación OMS III. ADI moderado. Riesgo de irritación ocular. LD50 Oral: mg/kg.. Medidas de protección recomendadas: Protección dérmica obligatoria, uso de EPP y rotación técnica de activos para evitar resistencia."
¿Cómo me protejo al aplicar Difenoconazol?,"Al usar Difenoconazol debes saber que: Clasificación OMS III. ADI moderado. Riesgo de irritación ocular. LD50 Oral: mg/kg.. Para protegerte adecuadamente: Protección dérmica obligatoria, uso de EPP y rotación técnica de activos para evitar resistencia."
¿El Difenoconazol daña la piel o los ojos?,"Sobre los riesgos del Difenoconazol: Clasificación OMS III. ADI moderado. Riesgo de irritación ocular. LD50 Oral: mg/kg.. Se recomienda: Protección dérmica obligatoria, uso de EPP y rotación técnica de activos para evitar resistencia."
¿Cómo se aplica el Difenoconazol?,"El Difenoconazol se aplica mediante Aspersión foliar. Su acción: Inhibidor DMI (Código FRAC 3). Sistémico. Inhibe la biosíntesis de esteroles (bloqueo C14-desmetilación).. Precauciones: Protección dérmica obligatoria, uso de EPP y rotación técnica de activos para evitar resistencia."
¿Cuál es el modo de acción del Difenoconazol?,El Difenoconazol actúa como: Inhibidor DMI (Código FRAC 3). Sistémico. Inhibe la biosíntesis de esteroles (bloqueo C14-desmetilación).. Se usa para controlar Antracnosis en maracuyá.
¿Qué enfermedades trata el Difenoconazol?,"El Difenoconazol se usa para controlar Antracnosis en maracuyá, aplicado por Aspersión foliar."
¿Qué EPP necesito para aplicar Difenoconazol?,"Para aplicar Difenoconazol recuerda que Clasificación OMS III. ADI moderado. Riesgo de irritación ocular. LD50 Oral: mg/kg.. Las medidas de protección son: Protección dérmica obligatoria, uso de EPP y rotación técnica de activos para evitar resistencia."
¿Qué fungicida uso para la Antracnosis en gulupa?,"Para controlar la Antracnosis en gulupa se recomienda Prochloraz, aplicado por Aspersión foliar o tratamiento de semillas. EPP completo. Control de impurezas (dioxinas < g/kg). Respetar PHI para evitar rechazos comerciales."
"Tengo Antracnosis en mi cultivo de gulupa, ¿qué hago?","Usa Prochloraz mediante Aspersión foliar o tratamiento de semillas. Riesgos a tener en cuenta: Clasificación OMS III. ADI: mg/kg pc. Metabolitos tóxicos (2,4,6-triclorofenol). Posibles impurezas de dioxinas.. Protección: EPP completo. Control de impurezas (dioxinas < g/kg). Respetar PHI para evitar rechazos comerciales."
¿Cómo controlo la Antracnosis causada por  Colletotrichum gloeosporioides  en gulupa?,El control de Antracnosis en gulupa se realiza con Prochloraz (Aspersión foliar o tratamiento de semillas). Modo de acción: Inhibidor DMI (Código FRAC 3). Contacto y sistémico local. Inhibe biosíntesis de ergosterol..
¿Qué riesgos tiene el Prochloraz?,"El Prochloraz presenta: Clasificación OMS III. ADI: mg/kg pc. Metabolitos tóxicos (2,4,6-triclorofenol). Posibles impurezas de dioxinas.. Para protegerte: EPP completo. Control de impurezas (dioxinas < g/kg). Respetar PHI para evitar rechazos comerciales."
¿Es peligroso el Prochloraz para la salud?,"Respecto al Prochloraz: Clasificación OMS III. ADI: mg/kg pc. Metabolitos tóxicos (2,4,6-triclorofenol). Posibles impurezas de dioxinas.. Medidas de protección recomendadas: EPP completo. Control de impurezas (dioxinas < g/kg). Respetar PHI para evitar rechazos comerciales."
¿Cómo me protejo al aplicar Prochloraz?,"Al usar Prochloraz debes saber que: Clasificación OMS III. ADI: mg/kg pc. Metabolitos tóxicos (2,4,6-triclorofenol). Posibles impurezas de dioxinas.. Para protegerte adecuadamente: EPP completo. Control de impurezas (dioxinas < g/kg). Respetar PHI para evitar rechazos comerciales."
¿El Prochloraz daña la piel o los ojos?,"Sobre los riesgos del Prochloraz: Clasificación OMS III. ADI: mg/kg pc. Metabolitos tóxicos (2,4,6-triclorofenol). Posibles impurezas de dioxinas.. Se recomienda: EPP completo. Control de impurezas (dioxinas < g/kg). Respetar PHI para evitar rechazos comerciales."
¿Cómo se aplica el Prochloraz?,El Prochloraz se aplica mediante Aspersión foliar o tratamiento de semillas. Su acción: Inhibidor DMI (Código FRAC 3). Contacto y sistémico local. Inhibe biosíntesis de ergosterol.. Precauciones: EPP completo. Control de impurezas (dioxinas < g/kg). Respetar PHI para evitar rechazos comerciales.
¿Cuál es el modo de acción del Prochloraz?,El Prochloraz actúa como: Inhibidor DMI (Código FRAC 3). Contacto y sistémico local. Inhibe biosíntesis de ergosterol.. Se usa para controlar Antracnosis en gulupa.
¿Qué enfermedades trata el Prochloraz?,"El Prochloraz se usa para controlar Antracnosis en gulupa, aplicado por Aspersión foliar o tratamiento de semillas."
¿Qué EPP necesito para aplicar Prochloraz?,"Para aplicar Prochloraz recuerda que Clasificación OMS III. ADI: mg/kg pc. Metabolitos tóxicos (2,4,6-triclorofenol). Posibles impurezas de dioxinas.. Las medidas de protección son: EPP completo. Control de impurezas (dioxinas < g/kg). Respetar PHI para evitar rechazos comerciales."
¿Qué fungicida uso para la Patógenos de suelo en Passiflora spp.?,"Para controlar la Patógenos de suelo en Passiflora spp. se recomienda Metalaxyl-M (Mefenoxam), aplicado por Drench (suelo), tratamiento localizado o aspersión foliar. Uso limitado por ciclo para evitar resistencia. Uso de EPP (camisa/pantalón largo y guantes). Seguir guías de CropLife."
"Tengo Patógenos de suelo en mi cultivo de Passiflora spp., ¿qué hago?","Usa Metalaxyl-M (Mefenoxam) mediante Drench (suelo), tratamiento localizado o aspersión foliar. Riesgos a tener en cuenta: Clasificación OMS III. ADI grupal: mg/kg pc. Riesgo de inflamación y vacuolización hepática. Alto riesgo de resistencia.. Protección: Uso limitado por ciclo para evitar resistencia. Uso de EPP (camisa/pantalón largo y guantes). Seguir guías de CropLife."
"¿Cómo controlo la Patógenos de suelo causada por  Phytophthora , Pythium , Fusarium  en Passiflora spp.?","El control de Patógenos de suelo en Passiflora spp. se realiza con Metalaxyl-M (Mefenoxam) (Drench (suelo), tratamiento localizado o aspersión foliar). Modo de acción: Fenilamida (Código FRAC 4). Sistémico. Inhibe la ARN polimerasa I. Interfiere con síntesis de ácidos nucleicos.."
¿Qué riesgos tiene el Metalaxyl-M (Mefenoxam)?,El Metalaxyl-M (Mefenoxam) presenta: Clasificación OMS III. ADI grupal: mg/kg pc. Riesgo de inflamación y vacuolización hepática. Alto riesgo de resistencia.. Para protegerte: Uso limitado por ciclo para evitar resistencia. Uso de EPP (camisa/pantalón largo y guantes). Seguir guías de CropLife.
¿Es peligroso el Metalaxyl-M (Mefenoxam) para la salud?,Respecto al Metalaxyl-M (Mefenoxam): Clasificación OMS III. ADI grupal: mg/kg pc. Riesgo de inflamación y vacuolización hepática. Alto riesgo de resistencia.. Medidas de protección recomendadas: Uso limitado por ciclo para evitar resistencia. Uso de EPP (camisa/pantalón largo y guantes). Seguir guías de CropLife.
¿Cómo me protejo al aplicar Metalaxyl-M (Mefenoxam)?,Al usar Metalaxyl-M (Mefenoxam) debes saber que: Clasificación OMS III. ADI grupal: mg/kg pc. Riesgo de inflamación y vacuolización hepática. Alto riesgo de resistencia.. Para protegerte adecuadamente: Uso limitado por ciclo para evitar resistencia. Uso de EPP (camisa/pantalón largo y guantes). Seguir guías de CropLife.
¿El Metalaxyl-M (Mefenoxam) daña la piel o los ojos?,Sobre los riesgos del Metalaxyl-M (Mefenoxam): Clasificación OMS III. ADI grupal: mg/kg pc. Riesgo de inflamación y vacuolización hepática. Alto riesgo de resistencia.. Se recomienda: Uso limitado por ciclo para evitar resistencia. Uso de EPP (camisa/pantalón largo y guantes). Seguir guías de CropLife.
¿Cómo se aplica el Metalaxyl-M (Mefenoxam)?,"El Metalaxyl-M (Mefenoxam) se aplica mediante Drench (suelo), tratamiento localizado o aspersión foliar. Su acción: Fenilamida (Código FRAC 4). Sistémico. Inhibe la ARN polimerasa I. Interfiere con síntesis de ácidos nucleicos.. Precauciones: Uso limitado por ciclo para evitar resistencia. Uso de EPP (camisa/pantalón largo y guantes). Seguir guías de CropLife."
¿Cuál es el modo de acción del Metalaxyl-M (Mefenoxam)?,El Metalaxyl-M (Mefenoxam) actúa como: Fenilamida (Código FRAC 4). Sistémico. Inhibe la ARN polimerasa I. Interfiere con síntesis de ácidos nucleicos.. Se usa para controlar Patógenos de suelo en Passiflora spp..
¿Qué enfermedades trata el Metalaxyl-M (Mefenoxam)?,"El Metalaxyl-M (Mefenoxam) se usa para controlar Patógenos de suelo en Passiflora spp., aplicado por Drench (suelo), tratamiento localizado o aspersión foliar."
¿Qué EPP necesito para aplicar Metalaxyl-M (Mefenoxam)?,Para aplicar Metalaxyl-M (Mefenoxam) recuerda que Clasificación OMS III. ADI grupal: mg/kg pc. Riesgo de inflamación y vacuolización hepática. Alto riesgo de resistencia.. Las medidas de protección son: Uso limitado por ciclo para evitar resistencia. Uso de EPP (camisa/pantalón largo y guantes). Seguir guías de CropLife.
¿Qué fungicida uso para la Roña o Costra en gulupa?,"Para controlar la Roña o Costra en gulupa se recomienda Mancozeb, aplicado por Aspersión foliar cada 2-3 semanas. Uso de EPP completo (guantes de nitrilo/viton). Monitoreo de impurezas ETU < . Combinar con podas."
"Tengo Roña o Costra en mi cultivo de gulupa, ¿qué hago?",Usa Mancozeb mediante Aspersión foliar cada 2-3 semanas. Riesgos a tener en cuenta: Clasificación OMS U. Contiene impureza ETU (potencial hiperplasia tiroidea). Criterio de disrupción endocrina.. Protección: Uso de EPP completo (guantes de nitrilo/viton). Monitoreo de impurezas ETU < . Combinar con podas.
¿Cómo controlo la Roña o Costra causada por  Cladosporium cladosporioides  en gulupa?,El control de Roña o Costra en gulupa se realiza con Mancozeb (Aspersión foliar cada 2-3 semanas). Modo de acción: Ditiocarbamato (Código FRAC M03). Acción multisitio. Protector. Interrumpe el metabolismo lipídico..
¿Qué riesgos tiene el Mancozeb?,El Mancozeb presenta: Clasificación OMS U. Contiene impureza ETU (potencial hiperplasia tiroidea). Criterio de disrupción endocrina.. Para protegerte: Uso de EPP completo (guantes de nitrilo/viton). Monitoreo de impurezas ETU < . Combinar con podas.
¿Es peligroso el Mancozeb para la salud?,Respecto al Mancozeb: Clasificación OMS U. Contiene impureza ETU (potencial hiperplasia tiroidea). Criterio de disrupción endocrina.. Medidas de protección recomendadas: Uso de EPP completo (guantes de nitrilo/viton). Monitoreo de impurezas ETU < . Combinar con podas.
¿Cómo me protejo al aplicar Mancozeb?,Al usar Mancozeb debes saber que: Clasificación OMS U. Contiene impureza ETU (potencial hiperplasia tiroidea). Criterio de disrupción endocrina.. Para protegerte adecuadamente: Uso de EPP completo (guantes de nitrilo/viton). Monitoreo de impurezas ETU < . Combinar con podas.
¿El Mancozeb daña la piel o los ojos?,Sobre los riesgos del Mancozeb: Clasificación OMS U. Contiene impureza ETU (potencial hiperplasia tiroidea). Criterio de disrupción endocrina.. Se recomienda: Uso de EPP completo (guantes de nitrilo/viton). Monitoreo de impurezas ETU < . Combinar con podas.
¿Cómo se aplica el Mancozeb?,El Mancozeb se aplica mediante Aspersión foliar cada 2-3 semanas. Su acción: Ditiocarbamato (Código FRAC M03). Acción multisitio. Protector. Interrumpe el metabolismo lipídico.. Precauciones: Uso de EPP completo (guantes de nitrilo/viton). Monitoreo de impurezas ETU < . Combinar con podas.
¿Cuál es el modo de acción del Mancozeb?,El Mancozeb actúa como: Ditiocarbamato (Código FRAC M03). Acción multisitio. Protector. Interrumpe el metabolismo lipídico.. Se usa para controlar Roña o Costra en gulupa.
¿Qué enfermedades trata el Mancozeb?,"El Mancozeb se usa para controlar Roña o Costra en gulupa, aplicado por Aspersión foliar cada 2-3 semanas."
¿Qué EPP necesito para aplicar Mancozeb?,Para aplicar Mancozeb recuerda que Clasificación OMS U. Contiene impureza ETU (potencial hiperplasia tiroidea). Criterio de disrupción endocrina.. Las medidas de protección son: Uso de EPP completo (guantes de nitrilo/viton). Monitoreo de impurezas ETU < . Combinar con podas.
"¿Qué fungicida uso para la Mancha parda, Mildeo polvoso y manchas foliares en Passiflora spp.?","Para controlar la Mancha parda, Mildeo polvoso y manchas foliares en Passiflora spp. se recomienda Tebuconazol, aplicado por Aspersión foliar. Evitar uso por mujeres embarazadas. EPP nivel II (protección ocular y guantes de nitrilo). Cumplir MRL."
"Tengo Mancha parda, Mildeo polvoso y manchas foliares en mi cultivo de Passiflora spp., ¿qué hago?",Usa Tebuconazol mediante Aspersión foliar. Riesgos a tener en cuenta: Clasificación OMS II. ADI: mg/kg pc. Sospechoso de dañar al feto (Repro. 2). Toxicidad reproductiva.. Protección: Evitar uso por mujeres embarazadas. EPP nivel II (protección ocular y guantes de nitrilo). Cumplir MRL.
"¿Cómo trato la Mancha parda, Mildeo polvoso y manchas foliares en Passiflora spp.?","El control de Mancha parda, Mildeo polvoso y manchas foliares en Passiflora spp. se realiza con Tebuconazol (Aspersión foliar). Modo de acción: Inhibidor DMI (Código FRAC 3). Sistémico. Inhibe la síntesis de esteroles.."
¿Qué riesgos tiene el Tebuconazol?,El Tebuconazol presenta: Clasificación OMS II. ADI: mg/kg pc. Sospechoso de dañar al feto (Repro. 2). Toxicidad reproductiva.. Para protegerte: Evitar uso por mujeres embarazadas. EPP nivel II (protección ocular y guantes de nitrilo). Cumplir MRL.
¿Es peligroso el Tebuconazol para la salud?,Respecto al Tebuconazol: Clasificación OMS II. ADI: mg/kg pc. Sospechoso de dañar al feto (Repro. 2). Toxicidad reproductiva.. Medidas de protección recomendadas: Evitar uso por mujeres embarazadas. EPP nivel II (protección ocular y guantes de nitrilo). Cumplir MRL.
¿Cómo me protejo al aplicar Tebuconazol?,Al usar Tebuconazol debes saber que: Clasificación OMS II. ADI: mg/kg pc. Sospechoso de dañar al feto (Repro. 2). Toxicidad reproductiva.. Para protegerte adecuadamente: Evitar uso por mujeres embarazadas. EPP nivel II (protección ocular y guantes de nitrilo). Cumplir MRL.
¿El Tebuconazol daña la piel o los ojos?,Sobre los riesgos del Tebuconazol: Clasificación OMS II. ADI: mg/kg pc. Sospechoso de dañar al feto (Repro. 2). Toxicidad reproductiva.. Se recomienda: Evitar uso por mujeres embarazadas. EPP nivel II (protección ocular y guantes de nitrilo). Cumplir MRL.
¿Cómo se aplica el Tebuconazol?,El Tebuconazol se aplica mediante Aspersión foliar. Su acción: Inhibidor DMI (Código FRAC 3). Sistémico. Inhibe la síntesis de esteroles.. Precauciones: Evitar uso por mujeres embarazadas. EPP nivel II (protección ocular y guantes de nitrilo). Cumplir MRL.
¿Cuál es el modo de acción del Tebuconazol?,"El Tebuconazol actúa como: Inhibidor DMI (Código FRAC 3). Sistémico. Inhibe la síntesis de esteroles.. Se usa para controlar Mancha parda, Mildeo polvoso y manchas foliares en Passiflora spp.."
¿Qué enfermedades trata el Tebuconazol?,"El Tebuconazol se usa para controlar Mancha parda, Mildeo polvoso y manchas foliares en Passiflora spp., aplicado por Aspersión foliar."
¿Qué EPP necesito para aplicar Tebuconazol?,Para aplicar Tebuconazol recuerda que Clasificación OMS II. ADI: mg/kg pc. Sospechoso de dañar al feto (Repro. 2). Toxicidad reproductiva.. Las medidas de protección son: Evitar uso por mujeres embarazadas. EPP nivel II (protección ocular y guantes de nitrilo). Cumplir MRL.
¿Qué fungicida uso para la Roña en gulupa?,"Para controlar la Roña en gulupa se recomienda Trifloxystrobin + Propiconazol, aplicado por Aspersión foliar. Uso de EPP completo y cumplimiento de normas GlobalGap bajo manejo integrado (MIPE)."
"Tengo Roña en mi cultivo de gulupa, ¿qué hago?",Usa Trifloxystrobin + Propiconazol mediante Aspersión foliar. Riesgos a tener en cuenta: Categoría toxicológica III (Medianamente tóxico). Irritación leve cutánea y ocular.. Protección: Uso de EPP completo y cumplimiento de normas GlobalGap bajo manejo integrado (MIPE).
¿Cómo controlo la Roña causada por  Cladosporium cladosporioides  en gulupa?,El control de Roña en gulupa se realiza con Trifloxystrobin + Propiconazol (Aspersión foliar). Modo de acción: Estrobirulina e Inhibidor DMI (Biosíntesis de esteroles y bloqueo de respiración)..
¿Qué riesgos tiene el Trifloxystrobin + Propiconazol?,El Trifloxystrobin + Propiconazol presenta: Categoría toxicológica III (Medianamente tóxico). Irritación leve cutánea y ocular.. Para protegerte: Uso de EPP completo y cumplimiento de normas GlobalGap bajo manejo integrado (MIPE).
¿Es peligroso el Trifloxystrobin + Propiconazol para la salud?,Respecto al Trifloxystrobin + Propiconazol: Categoría toxicológica III (Medianamente tóxico). Irritación leve cutánea y ocular.. Medidas de protección recomendadas: Uso de EPP completo y cumplimiento de normas GlobalGap bajo manejo integrado (MIPE).
¿Cómo me protejo al aplicar Trifloxystrobin + Propiconazol?,Al usar Trifloxystrobin + Propiconazol debes saber que: Categoría toxicológica III (Medianamente tóxico). Irritación leve cutánea y ocular.. Para protegerte adecuadamente: Uso de EPP completo y cumplimiento de normas GlobalGap bajo manejo integrado (MIPE).
¿El Trifloxystrobin + Propiconazol daña la piel o los ojos?,Sobre los riesgos del Trifloxystrobin + Propiconazol: Categoría toxicológica III (Medianamente tóxico). Irritación leve cutánea y ocular.. Se recomienda: Uso de EPP completo y cumplimiento de normas GlobalGap bajo manejo integrado (MIPE).
¿Cómo se aplica el Trifloxystrobin + Propiconazol?,El Trifloxystrobin + Propiconazol se aplica mediante Aspersión foliar. Su acción: Estrobirulina e Inhibidor DMI (Biosíntesis de esteroles y bloqueo de respiración).. Precauciones: Uso de EPP completo y cumplimiento de normas GlobalGap bajo manejo integrado (MIPE).
¿Cuál es el modo de acción del Trifloxystrobin + Propiconazol?,El Trifloxystrobin + Propiconazol actúa como: Estrobirulina e Inhibidor DMI (Biosíntesis de esteroles y bloqueo de respiración).. Se usa para controlar Roña en gulupa.
¿Qué enfermedades trata el Trifloxystrobin + Propiconazol?,"El Trifloxystrobin + Propiconazol se usa para controlar Roña en gulupa, aplicado por Aspersión foliar."
¿Qué EPP necesito para aplicar Trifloxystrobin + Propiconazol?,Para aplicar Trifloxystrobin + Propiconazol recuerda que Categoría toxicológica III (Medianamente tóxico). Irritación leve cutánea y ocular.. Las medidas de protección son: Uso de EPP completo y cumplimiento de normas GlobalGap bajo manejo integrado (MIPE).
¿Qué fungicida uso para la Moho gris en Passiflora spp.?,"Para controlar la Moho gris en Passiflora spp. se recomienda Cyprodinil + Fludioxonil, aplicado por Aspersión foliar. Evitar aplicaciones cerca de cuerpos de agua. Uso de EPP completo para evitar exposición cutánea."
"Tengo Moho gris en mi cultivo de Passiflora spp., ¿qué hago?",Usa Cyprodinil + Fludioxonil mediante Aspersión foliar. Riesgos a tener en cuenta: Altamente tóxico para organismos acuáticos. Fludioxonil es posible disruptor endocrino (EDC).. Protección: Evitar aplicaciones cerca de cuerpos de agua. Uso de EPP completo para evitar exposición cutánea.
¿Cómo controlo la Moho gris causada por  Botrytis cinerea  en Passiflora spp.?,El control de Moho gris en Passiflora spp. se realiza con Cyprodinil + Fludioxonil (Aspersión foliar). Modo de acción: Grupo 9 + Grupo 12 (Anilinopirimidina + Fenilpirrol)..
¿Qué riesgos tiene el Cyprodinil + Fludioxonil?,El Cyprodinil + Fludioxonil presenta: Altamente tóxico para organismos acuáticos. Fludioxonil es posible disruptor endocrino (EDC).. Para protegerte: Evitar aplicaciones cerca de cuerpos de agua. Uso de EPP completo para evitar exposición cutánea.
¿Es peligroso el Cyprodinil + Fludioxonil para la salud?,Respecto al Cyprodinil + Fludioxonil: Altamente tóxico para organismos acuáticos. Fludioxonil es posible disruptor endocrino (EDC).. Medidas de protección recomendadas: Evitar aplicaciones cerca de cuerpos de agua. Uso de EPP completo para evitar exposición cutánea.
¿Cómo me protejo al aplicar Cyprodinil + Fludioxonil?,Al usar Cyprodinil + Fludioxonil debes saber que: Altamente tóxico para organismos acuáticos. Fludioxonil es posible disruptor endocrino (EDC).. Para protegerte adecuadamente: Evitar aplicaciones cerca de cuerpos de agua. Uso de EPP completo para evitar exposición cutánea.
¿El Cyprodinil + Fludioxonil daña la piel o los ojos?,Sobre los riesgos del Cyprodinil + Fludioxonil: Altamente tóxico para organismos acuáticos. Fludioxonil es posible disruptor endocrino (EDC).. Se recomienda: Evitar aplicaciones cerca de cuerpos de agua. Uso de EPP completo para evitar exposición cutánea.
¿Cómo se aplica el Cyprodinil + Fludioxonil?,El Cyprodinil + Fludioxonil se aplica mediante Aspersión foliar. Su acción: Grupo 9 + Grupo 12 (Anilinopirimidina + Fenilpirrol).. Precauciones: Evitar aplicaciones cerca de cuerpos de agua. Uso de EPP completo para evitar exposición cutánea.
¿Cuál es el modo de acción del Cyprodinil + Fludioxonil?,El Cyprodinil + Fludioxonil actúa como: Grupo 9 + Grupo 12 (Anilinopirimidina + Fenilpirrol).. Se usa para controlar Moho gris en Passiflora spp..
¿Qué enfermedades trata el Cyprodinil + Fludioxonil?,"El Cyprodinil + Fludioxonil se usa para controlar Moho gris en Passiflora spp., aplicado por Aspersión foliar."
¿Qué EPP necesito para aplicar Cyprodinil + Fludioxonil?,Para aplicar Cyprodinil + Fludioxonil recuerda que Altamente tóxico para organismos acuáticos. Fludioxonil es posible disruptor endocrino (EDC).. Las medidas de protección son: Evitar aplicaciones cerca de cuerpos de agua. Uso de EPP completo para evitar exposición cutánea.
¿Qué fungicida uso para la Moho gris en Passiflora spp.?,"Para controlar la Moho gris en Passiflora spp. se recomienda Boscalid, aplicado por Aspersión foliar. Rotación de ingredientes activos con diferentes códigos FRAC."
"Tengo Moho gris en mi cultivo de Passiflora spp., ¿qué hago?",Usa Boscalid mediante Aspersión foliar. Riesgos a tener en cuenta: Riesgo hepático crónico moderado.. Protección: Rotación de ingredientes activos con diferentes códigos FRAC.
¿Cómo controlo la Moho gris causada por  Botrytis cinerea  en Passiflora spp.?,El control de Moho gris en Passiflora spp. se realiza con Boscalid (Aspersión foliar). Modo de acción: Piridina-carboxamida (SDHI). Inhibe succinato deshidrogenasa (Complejo II)..
¿Qué riesgos tiene el Boscalid?,El Boscalid presenta: Riesgo hepático crónico moderado.. Para protegerte: Rotación de ingredientes activos con diferentes códigos FRAC.
¿Es peligroso el Boscalid para la salud?,Respecto al Boscalid: Riesgo hepático crónico moderado.. Medidas de protección recomendadas: Rotación de ingredientes activos con diferentes códigos FRAC.
¿Cómo me protejo al aplicar Boscalid?,Al usar Boscalid debes saber que: Riesgo hepático crónico moderado.. Para protegerte adecuadamente: Rotación de ingredientes activos con diferentes códigos FRAC.
¿El Boscalid daña la piel o los ojos?,Sobre los riesgos del Boscalid: Riesgo hepático crónico moderado.. Se recomienda: Rotación de ingredientes activos con diferentes códigos FRAC.
¿Cómo se aplica el Boscalid?,El Boscalid se aplica mediante Aspersión foliar. Su acción: Piridina-carboxamida (SDHI). Inhibe succinato deshidrogenasa (Complejo II).. Precauciones: Rotación de ingredientes activos con diferentes códigos FRAC.
¿Cuál es el modo de acción del Boscalid?,El Boscalid actúa como: Piridina-carboxamida (SDHI). Inhibe succinato deshidrogenasa (Complejo II).. Se usa para controlar Moho gris en Passiflora spp..
¿Qué enfermedades trata el Boscalid?,"El Boscalid se usa para controlar Moho gris en Passiflora spp., aplicado por Aspersión foliar."
¿Qué EPP necesito para aplicar Boscalid?,Para aplicar Boscalid recuerda que Riesgo hepático crónico moderado.. Las medidas de protección son: Rotación de ingredientes activos con diferentes códigos FRAC.
¿Qué fungicida uso para la Moho gris en Passiflora spp.?,"Para controlar la Moho gris en Passiflora spp. se recomienda Pyrimethanil, aplicado por Aspersión foliar. Respetar el intervalo de reentrada (REI) de 12 horas."
