pregunta,respuesta
cómo sé si mi cultivo tiene secadera,"La Secadera se reconoce porque amarillamiento progresivo desde la base, marchitez súbita, oscurecimiento de tejido vascular al cortar el tallo. Si ves estas señales en tu granadilla, favorecida por suelos ácidos, mal drenados y compactados. Trata con Trichoderma harzianum, Bacillus subtilis, Fosetil-Al y evita el exceso de humedad."
"me dijeron que mi cultivo tiene secadera, ¿es grave?","Sí, la Secadera puede ser grave si no se controla a tiempo. Es causada por Fusarium oxysporum y amarillamiento progresivo desde la base, marchitez súbita, oscurecimiento de tejido vascular al cortar el tallo. Actúa pronto con Trichoderma harzianum, Bacillus subtilis, Fosetil-Al y mejora la ventilación del cultivo."
¿cuáles son los síntomas de Secadera en granadilla?,"La Secadera causada por Fusarium oxysporum presenta: amarillamiento progresivo desde la base, marchitez súbita, oscurecimiento de tejido vascular al cortar el tallo. Las condiciones favorables son: favorecida por suelos ácidos, mal drenados y compactados. Se recomienda usar Trichoderma harzianum, Bacillus subtilis, Fosetil-Al con rotación de modos de acción."
¿qué fungicidas recomiendas para controlar Secadera?,"Para el control de Secadera (Fusarium oxysporum) en granadilla, maracuyá se recomiendan: Trichoderma harzianum, Bacillus subtilis, Fosetil-Al. Es importante rotar entre diferentes códigos FRAC para evitar resistencias. La enfermedad favorecida por suelos ácidos, mal drenados y compactados."
¿cómo se diferencia Secadera de otras enfermedades en pasifloras?,"La Secadera se distingue porque amarillamiento progresivo desde la base, marchitez súbita, oscurecimiento de tejido vascular al cortar el tallo. Esto la diferencia de otras enfermedades fúngicas que pueden tener síntomas similares. Las condiciones que la favorecen: favorecida por suelos ácidos, mal drenados y compactados."
¿bajo qué condiciones climáticas se desarrolla Secadera?,"La Secadera causada por Fusarium oxysporum favorecida por suelos ácidos, mal drenados y compactados. Por eso es clave monitorear el cultivo en épocas lluviosas y aplicar preventivamente Trichoderma harzianum, Bacillus subtilis, Fosetil-Al."
¿cuál es el agente causal de la Secadera en passifloras?,"La Secadera es causada por Fusarium oxysporum. Se manifiesta como amarillamiento progresivo desde la base, marchitez súbita, oscurecimiento de tejido vascular al cortar el tallo. Afecta cultivos de granadilla, maracuyá y favorecida por suelos ácidos, mal drenados y compactados."
¿cuál es el mecanismo de patogénesis de Fusarium oxysporum en Passifloraceae?,"Fusarium oxysporum, agente causal de Secadera, penetra el tejido vegetal en condiciones de favorecida por suelos ácidos, mal drenados y compactados. Los síntomas observados son amarillamiento progresivo desde la base, marchitez súbita, oscurecimiento de tejido vascular al cortar el tallo. Para su manejo integrado se recomienda combinar Trichoderma harzianum, Bacillus subtilis, Fosetil-Al con estrategias culturales como podas de aireación y manejo de humedad."
¿qué estrategia de rotación de fungicidas recomiendas para Secadera considerando riesgo de resistencia?,"Para Secadera causada por Fusarium oxysporum se recomienda rotar entre Trichoderma harzianum, Bacillus subtilis, Fosetil-Al, alternando sus códigos FRAC para minimizar presión de selección. Combinar con multi-sitios como Mancozeb en programas preventivos."
¿cómo integrar el control biológico con el químico para Secadera?,"En el manejo integrado de Secadera se puede combinar el uso de biofungicidas como Trichoderma harzianum o Bacillus subtilis en suelo con aplicaciones foliares de Trichoderma harzianum, Bacillus subtilis, Fosetil-Al en momentos críticos del ciclo. La clave es aplicar biológicos preventivamente y químicos curativamente."
"mis matas de maracuyá tienen unas manchas raras, ¿qué puede ser?","Puede ser Roña, causada por Cladosporium spp.. Los síntomas son: lesiones corchosas y rugosas en la superficie del fruto, aspecto de costra o verruga que reduce el valor comercial. Esta enfermedad se presenta con lluvias frecuentes y temperaturas moderadas. Para tratarla puedes usar Extracto de Swinglea, Difenoconazol, Trifloxystrobin. Te recomiendo consultar con un técnico para confirmar el diagnóstico."
"se me está muriendo el cultivo de maracuyá, tiene lesiones corchosas y rugosas en la super","Eso suena a Roña, causada por Cladosporium spp.. lesiones corchosas y rugosas en la superficie del fruto, aspecto de costra o verruga que reduce el valor comercial. Esta enfermedad se presenta con lluvias frecuentes y temperaturas moderadas. Los fungicidas que funcionan son: Extracto de Swinglea, Difenoconazol, Trifloxystrobin. Es importante actuar rápido antes de que se propague."
qué le pasa a mi maracuyá que tiene manchas,"Sin ver la planta es difícil saber con certeza, pero si las manchas son lesiones corchosas y rugosas en la superficie del fruto, asp, podría ser Roña. Esta enfermedad se presenta con lluvias frecuentes y temperaturas moderadas. Para controlarla se usan productos como Extracto de Swinglea, Difenoconazol, Trifloxystrobin."
cómo sé si mi cultivo tiene roña,"La Roña se reconoce porque lesiones corchosas y rugosas en la superficie del fruto, aspecto de costra o verruga que reduce el valor comercial. Si ves estas señales en tu maracuyá, se presenta con lluvias frecuentes y temperaturas moderadas. Trata con Extracto de Swinglea, Difenoconazol, Trifloxystrobin y evita el exceso de humedad."
"me dijeron que mi cultivo tiene roña, ¿es grave?","Sí, la Roña puede ser grave si no se controla a tiempo. Es causada por Cladosporium spp. y lesiones corchosas y rugosas en la superficie del fruto, aspecto de costra o verruga que reduce el valor comercial. Actúa pronto con Extracto de Swinglea, Difenoconazol, Trifloxystrobin y mejora la ventilación del cultivo."
¿cuáles son los síntomas de Roña en maracuyá?,"La Roña causada por Cladosporium spp. presenta: lesiones corchosas y rugosas en la superficie del fruto, aspecto de costra o verruga que reduce el valor comercial. Las condiciones favorables son: se presenta con lluvias frecuentes y temperaturas moderadas. Se recomienda usar Extracto de Swinglea, Difenoconazol, Trifloxystrobin con rotación de modos de acción."
¿qué fungicidas recomiendas para controlar Roña?,"Para el control de Roña (Cladosporium spp.) en maracuyá se recomiendan: Extracto de Swinglea, Difenoconazol, Trifloxystrobin. Es importante rotar entre diferentes códigos FRAC para evitar resistencias. La enfermedad se presenta con lluvias frecuentes y temperaturas moderadas."
¿cómo se diferencia Roña de otras enfermedades en pasifloras?,"La Roña se distingue porque lesiones corchosas y rugosas en la superficie del fruto, aspecto de costra o verruga que reduce el valor comercial. Esto la diferencia de otras enfermedades fúngicas que pueden tener síntomas similares. Las condiciones que la favorecen: se presenta con lluvias frecuentes y temperaturas moderadas."
¿bajo qué condiciones climáticas se desarrolla Roña?,"La Roña causada por Cladosporium spp. se presenta con lluvias frecuentes y temperaturas moderadas. Por eso es clave monitorear el cultivo en épocas lluviosas y aplicar preventivamente Extracto de Swinglea, Difenoconazol, Trifloxystrobin."
¿cuál es el agente causal de la Roña en passifloras?,"La Roña es causada por Cladosporium spp.. Se manifiesta como lesiones corchosas y rugosas en la superficie del fruto, aspecto de costra o verruga que reduce el valor comercial. Afecta cultivos de maracuyá y se presenta con lluvias frecuentes y temperaturas moderadas."
¿cuál es el mecanismo de patogénesis de Cladosporium spp. en Passifloraceae?,"Cladosporium spp., agente causal de Roña, penetra el tejido vegetal en condiciones de se presenta con lluvias frecuentes y temperaturas moderadas. Los síntomas observados son lesiones corchosas y rugosas en la superficie del fruto, aspecto de costra o verruga que reduce el valor comercial. Para su manejo integrado se recomienda combinar Extracto de Swinglea, Difenoconazol, Trifloxystrobin con estrategias culturales como podas de aireación y manejo de humedad."
¿qué estrategia de rotación de fungicidas recomiendas para Roña considerando riesgo de resistencia?,"Para Roña causada por Cladosporium spp. se recomienda rotar entre Extracto de Swinglea, Difenoconazol, Trifloxystrobin, alternando sus códigos FRAC para minimizar presión de selección. Combinar con multi-sitios como Mancozeb en programas preventivos."
¿cómo integrar el control biológico con el químico para Roña?,"En el manejo integrado de Roña se puede combinar el uso de biofungicidas como Trichoderma harzianum o Bacillus subtilis en suelo con aplicaciones foliares de Extracto de Swinglea, Difenoconazol, Trifloxystrobin en momentos críticos del ciclo. La clave es aplicar biológicos preventivamente y químicos curativamente."
"mis matas de granadilla tienen unas manchas raras, ¿qué puede ser?","Puede ser Mancha foliar Cercospora, causada por Cercospora spp.. Los síntomas son: manchas circulares de color marrón con halo amarillo en hojas, defoliación severa en ataques avanzados. Esta enfermedad favorecida por periodos lluviosos prolongados. Para tratarla puedes usar Tebuconazol, Difenoconazol. Te recomiendo consultar con un técnico para confirmar el diagnóstico."
"se me está muriendo el cultivo de granadilla, tiene manchas circulares de color marrón con h","Eso suena a Mancha foliar Cercospora, causada por Cercospora spp.. manchas circulares de color marrón con halo amarillo en hojas, defoliación severa en ataques avanzados. Esta enfermedad favorecida por periodos lluviosos prolongados. Los fungicidas que funcionan son: Tebuconazol, Difenoconazol. Es importante actuar rápido antes de que se propague."
qué le pasa a mi granadilla que tiene manchas,"Sin ver la planta es difícil saber con certeza, pero si las manchas son manchas circulares de color marrón con halo amarillo en hoja, podría ser Mancha foliar Cercospora. Esta enfermedad favorecida por periodos lluviosos prolongados. Para controlarla se usan productos como Tebuconazol, Difenoconazol."
cómo sé si mi cultivo tiene mancha foliar cercospora,"La Mancha foliar Cercospora se reconoce porque manchas circulares de color marrón con halo amarillo en hojas, defoliación severa en ataques avanzados. Si ves estas señales en tu granadilla, favorecida por periodos lluviosos prolongados. Trata con Tebuconazol, Difenoconazol y evita el exceso de humedad."
"me dijeron que mi cultivo tiene mancha foliar cercospora, ¿es grave?","Sí, la Mancha foliar Cercospora puede ser grave si no se controla a tiempo. Es causada por Cercospora spp. y manchas circulares de color marrón con halo amarillo en hojas, defoliación severa en ataques avanzados. Actúa pronto con Tebuconazol, Difenoconazol y mejora la ventilación del cultivo."
¿cuáles son los síntomas de Mancha foliar Cercospora en granadilla?,"La Mancha foliar Cercospora causada por Cercospora spp. presenta: manchas circulares de color marrón con halo amarillo en hojas, defoliación severa en ataques avanzados. Las condiciones favorables son: favorecida por periodos lluviosos prolongados. Se recomienda usar Tebuconazol, Difenoconazol con rotación de modos de acción."
¿qué fungicidas recomiendas para controlar Mancha foliar Cercospora?,"Para el control de Mancha foliar Cercospora (Cercospora spp.) en granadilla se recomiendan: Tebuconazol, Difenoconazol. Es importante rotar entre diferentes códigos FRAC para evitar resistencias. La enfermedad favorecida por periodos lluviosos prolongados."
¿cómo se diferencia Mancha foliar Cercospora de otras enfermedades en pasifloras?,"La Mancha foliar Cercospora se distingue porque manchas circulares de color marrón con halo amarillo en hojas, defoliación severa en ataques avanzados. Esto la diferencia de otras enfermedades fúngicas que pueden tener síntomas similares. Las condiciones que la favorecen: favorecida por periodos lluviosos prolongados."
¿bajo qué condiciones climáticas se desarrolla Mancha foliar Cercospora?,"La Mancha foliar Cercospora causada por Cercospora spp. favorecida por periodos lluviosos prolongados. Por eso es clave monitorear el cultivo en épocas lluviosas y aplicar preventivamente Tebuconazol, Difenoconazol."
¿cuál es el agente causal de la Mancha foliar Cercospora en passifloras?,"La Mancha foliar Cercospora es causada por Cercospora spp.. Se manifiesta como manchas circulares de color marrón con halo amarillo en hojas, defoliación severa en ataques avanzados. Afecta cultivos de granadilla y favorecida por periodos lluviosos prolongados."
¿cuál es el mecanismo de patogénesis de Cercospora spp. en Passifloraceae?,"Cercospora spp., agente causal de Mancha foliar Cercospora, penetra el tejido vegetal en condiciones de favorecida por periodos lluviosos prolongados. Los síntomas observados son manchas circulares de color marrón con halo amarillo en hojas, defoliación severa en ataques avanzados. Para su manejo integrado se recomienda combinar Tebuconazol, Difenoconazol con estrategias culturales como podas de aireación y manejo de humedad."
¿qué estrategia de rotación de fungicidas recomiendas para Mancha foliar Cercospora considerando riesgo de resistencia?,"Para Mancha foliar Cercospora causada por Cercospora spp. se recomienda rotar entre Tebuconazol, Difenoconazol, alternando sus códigos FRAC para minimizar presión de selección. Combinar con multi-sitios como Mancozeb en programas preventivos."
¿cómo integrar el control biológico con el químico para Mancha foliar Cercospora?,"En el manejo integrado de Mancha foliar Cercospora se puede combinar el uso de biofungicidas como Trichoderma harzianum o Bacillus subtilis en suelo con aplicaciones foliares de Tebuconazol, Difenoconazol en momentos críticos del ciclo. La clave es aplicar biológicos preventivamente y químicos curativamente."
"me vendieron Azoxistrobina en el almacén, ¿sirve para mi maracuyá?","Sí, Azoxistrobina es un fungicida que se usa para controlar Antracnosis en maracuyá. Se aplica por aspersión foliar. Recuerda usar guantes y overol al aplicarlo. usar EPP completo, respetar periodos de carencia."
cómo se echa el Azoxistrobina,"Azoxistrobina se aplica mediante aspersión foliar. Antes de aplicarlo usa tu equipo de protección: overol, guantes, gafas y tapabocas. Ten en cuenta que clasificación OMS U, irritación leve ocular. usar EPP completo, respetar periodos de carencia."
el Azoxistrobina es malo para la salud,"Como todo fungicida, Azoxistrobina requiere precaución. Sus riesgos son: clasificación OMS U, irritación leve ocular. Para protegerte: usar EPP completo, respetar periodos de carencia. Siempre usa tu equipo de protección completo."
para qué sirve el Azoxistrobina,"Azoxistrobina sirve para controlar Antracnosis en cultivos de maracuyá. Se aplica por aspersión foliar y actúa como inhibidor QoI FRAC 11, bloquea respiración mitocondrial. Es importante seguir las instrucciones de la etiqueta."
me salpiqué con Azoxistrobina qué hago,"Si te salpicaste con Azoxistrobina: lava inmediatamente la zona afectada con agua y jabón durante 15 minutos. Si fue en los ojos, lava con agua abundante por 15 minutos. Recuerda que este producto tiene estos riesgos: clasificación OMS U, irritación leve ocular. Si los síntomas persisten, ve al médico con la etiqueta del producto."
¿cuál es el código FRAC del Azoxistrobina?,"Azoxistrobina actúa como inhibidor QoI FRAC 11, bloquea respiración mitocondrial. Conocer el código FRAC es clave para rotar correctamente y evitar resistencias en Antracnosis."
¿cuál es el modo de acción del Azoxistrobina sobre Antracnosis?,"Azoxistrobina controla Antracnosis en maracuyá mediante inhibidor QoI FRAC 11, bloquea respiración mitocondrial. Se aplica por aspersión foliar. Para evitar resistencia, rotar con fungicidas de diferente código FRAC."
